location1,lat1,lon1,location2,lat2,lon2,count
"Baltimore, MD",39.2908608,-76.6108072,"Philadelphia, PA",39.9523993,-75.1635898,414
"San Francisco, CA",37.7792808,-122.4192362,"Stanford, CA",37.4265649,-122.170187551249,406
"Boston, MA",42.3604823,-71.0595677,"Houston, TX",29.7589382,-95.3676973,402
"Boston, MA",42.3604823,-71.0595677,"Seattle, WA",47.6038321,-122.3300623,390
"Durham, NC",35.9940329,-78.8986189,"New York, NY",40.7305991,-73.9865811,386
"Atlanta, GA",33.7490987,-84.3901848,"New York, NY",40.7305991,-73.9865811,382
"Los Angeles, CA",34.0543942,-118.2439408,"Philadelphia, PA",39.9523993,-75.1635898,376
"Bethesda, MD",38.9848265,-77.0946458,"Durham, NC",35.9940329,-78.8986189,372
"Baltimore, MD",39.2908608,-76.6108072,"San Francisco, CA",37.7792808,-122.4192362,370
"New York, NY",40.7305991,-73.9865811,"Princeton, NJ",40.3492744,-74.6592957,368
"New York, NY",40.7305991,-73.9865811,"Saint Louis, MO",38.6272733,-90.1978888,362
"Boston, MA",42.3604823,-71.0595677,"Dallas, TX",32.7762719,-96.7968558,356
"Atlanta, GA",33.7490987,-84.3901848,"Bethesda, MD",38.9848265,-77.0946458,354
"Boston, MA",42.3604823,-71.0595677,"Princeton, NJ",40.3492744,-74.6592957,348
"La Jolla, CA",32.8472711,-117.2742085,"Stanford, CA",37.4265649,-122.170187551249,348
"Bethesda, MD",38.9848265,-77.0946458,"Pittsburgh, PA",40.4416941,-79.990086,344
"New York, NY",40.7305991,-73.9865811,"Pittsburgh, PA",40.4416941,-79.990086,338
"Ann Arbor, MI",42.2681569,-83.731229,"Boston, MA",42.3604823,-71.0595677,334
"Bethesda, MD",38.9848265,-77.0946458,"Stanford, CA",37.4265649,-122.170187551249,326
"Los Angeles, CA",34.0543942,-118.2439408,"Stanford, CA",37.4265649,-122.170187551249,322
"Boston, MA",42.3604823,-71.0595677,"Madison, WI",43.074761,-89.3837612,314
"Dallas, TX",32.7762719,-96.7968558,"New York, NY",40.7305991,-73.9865811,314
"La Jolla, CA",32.8472711,-117.2742085,"Philadelphia, PA",39.9523993,-75.1635898,312
"Bethesda, MD",38.9848265,-77.0946458,"Houston, TX",29.7589382,-95.3676973,308
"New York, NY",40.7305991,-73.9865811,"Seattle, WA",47.6038321,-122.3300623,308
"Boston, MA",42.3604823,-71.0595677,"Providence, RI",41.8239891,-71.4128342,300
"Baltimore, MD",39.2908608,-76.6108072,"Pittsburgh, PA",40.4416941,-79.990086,296
"Boston, MA",42.3604823,-71.0595677,"Gainesville, FL",29.651907,-82.3247975,290
"Ann Arbor, MI",42.2681569,-83.731229,"New York, NY",40.7305991,-73.9865811,290
"Baltimore, MD",39.2908608,-76.6108072,"Durham, NC",35.9940329,-78.8986189,288
"Bethesda, MD",38.9848265,-77.0946458,"New Haven, CT",41.3082138,-72.9250517,280
"Bethesda, MD",38.9848265,-77.0946458,"Saint Louis, MO",38.6272733,-90.1978888,280
"Durham, NC",35.9940329,-78.8986189,"Los Angeles, CA",34.0543942,-118.2439408,272
"Chicago, IL",41.8755546,-87.6244211,"San Francisco, CA",37.7792808,-122.4192362,272
"Boston, MA",42.3604823,-71.0595677,"Minneapolis, MN",44.9772995,-93.2654691,272
"Boston, MA",42.3604823,-71.0595677,"Groton, CT",41.3506989,-72.0773653,268
