location,poster_count,latitude,longitude
"Fort Worth, TX",258,32.753177,-97.3327458
"Morgantown, WV",256,39.629526,-79.9558967
"Heidelberg, Germany",256,49.4093608,8.6948125
"Buenos Aires, Argentina",252,-34.6143904,-58.4460878
"Louisville, KY",252,38.2542376,-85.7594069
"Nagoya, Japan",250,35.15792,136.90448
"Basel, Switzerland",248,47.5581077,7.5878261
"Magdeburg, Germany",244,52.1315889,11.6399609
"Rochester, MN",244,44.0233269,-92.4630214
"Jackson, MS",244,32.4104385,-90.162064888255
"Riverside, CA",244,33.9533546,-117.3961622
"Hamilton, ON, Canada",242,43.254687,-79.8678196
"Madrid, Spain",240,40.4167047,-3.7035824
"University Park, PA",236,40.8005307,-77.8624446
"Ashburn, VA",236,39.0437192,-77.4874898
"Groton, CT",236,41.3506989,-72.0773653
"Lethbridge, AB, Canada",230,49.6932413,-112.8509388
"Ithaca, NY",228,42.4396039,-76.4968018
"Pullman, WA",228,46.7304268,-117.1738949
"Lund, Sweden",226,55.7029296,13.1929449
"Hong Kong, China",224,22.2793278,114.1628131
"Fukuoka, Japan",224,33.6251241,130.6180016
"Sendai, Japan",222,38.296829,140.769677
"Jerusalem, Israel",218,31.7791134,35.2266286
"Columbia, SC",218,34.0007493,-81.0343312
"Trondheim, Norway",218,63.4305658,10.3951929
"Brisbane, Australia",216,-27.4689681,153.0234991
"Kanagawa, Japan",214,35.3149965,139.35785319696
"Freiburg, Germany",214,47.9960901,7.8494005
"Binghamton, NY",211,42.096968,-75.9143409
"Newcastle Upon Tyne, United Kingdom",210,54.9770924,-1.6142058
"Waterloo, ON, Canada",406,43.4655524,-80.5217785
"Boca Raton, FL",210,26.3586885,-80.0830983
"Sapporo, Japan",204,43.044768,141.337215
"RibeirãO Preto, Brazil",204,-21.1783329,-47.806667
"Worcester, MA",202,42.2625932,-71.8022933
"Hershey, PA",200,40.2854881,-76.6506
"Rehovot, Israel",200,31.8952532,34.8105616
"Leipzig, Germany",200,51.3391827,12.3810549
"Edinburgh, United Kingdom",198,55.9483544,-3.1931186
"Kansas City, KS",194,39.1146799,-94.7495245
"Okazaki, Japan",378,34.950974,137.260842
"Bonn, Germany",190,50.7358511,7.1006599
"Kent, OH",190,41.1536674,-81.3578859
"Sherbrooke, QC, Canada",190,45.4029964,-71.8876809
"Milan, Italy",186,45.4667971,9.1904984
"Orangeburg, NY",184,41.0465776,-73.9496706
"Bangalore, India",182,12.9791198,77.5912997
