location1,lat1,lon1,location2,lat2,lon2,count
"Boston, MA",42.3604823,-71.0595677,"Cleveland, OH",41.5051613,-81.6934445,216
"Boston, MA",42.3604823,-71.0595677,"Indianapolis, IN",39.7683331,-86.1583501,214
"Baltimore, MD",39.2908608,-76.6108072,"Korea, Republic Of",35.3985008,127.937111,214
"Boston, MA",42.3604823,-71.0595677,"Nashville, TN",36.1622296,-86.774353,214
"Boston, MA",42.3604823,-71.0595677,"Irvine, CA",33.6856969,-117.8259818,214
"Chicago, IL",41.8755546,-87.6244211,"New Haven, CT",41.3082138,-72.9250517,212
"Nagoya, Japan",35.15792,136.90448,"Tokyo, Japan",34.2255804,139.294774527387,210
"Chicago, IL",41.8755546,-87.6244211,"Stanford, CA",37.4265649,-122.170187551249,210
"New York, NY",40.7305991,-73.9865811,"Tokyo, Japan",34.2255804,139.294774527387,210
"Irvine, CA",33.6856969,-117.8259818,"La Jolla, CA",32.8472711,-117.2742085,208
"Irvine, CA",33.6856969,-117.8259818,"New York, NY",40.7305991,-73.9865811,208
"Baltimore, MD",39.2908608,-76.6108072,"New Haven, CT",41.3082138,-72.9250517,200
"Boston, MA",42.3604823,-71.0595677,"Tempe, AZ",33.4144139,-111.9094473,200
"London, United Kingdom",51.5073219,-0.1276473,"New York, NY",40.7305991,-73.9865811,200
"Ann Arbor, MI",42.2681569,-83.731229,"Bethesda, MD",38.9848265,-77.0946458,198
"Chicago, IL",41.8755546,-87.6244211,"Saint Louis, MO",38.6272733,-90.1978888,198
"Bethesda, MD",38.9848265,-77.0946458,"Saint Louis, MO",38.6272733,-90.1978888,196
"Boston, MA",42.3604823,-71.0595677,"Davis, CA",38.545379,-121.7445834,194
"Baltimore, MD",39.2908608,-76.6108072,"Stanford, CA",37.4265649,-122.170187551249,194
"Ann Arbor, MI",42.2681569,-83.731229,"Chicago, IL",41.8755546,-87.6244211,192
"Korea, Republic Of",35.3985008,127.937111,"La Jolla, CA",32.8472711,-117.2742085,190
"Bethesda, MD",38.9848265,-77.0946458,"Madison, WI",43.074761,-89.3837612,190
"Boston, MA",42.3604823,-71.0595677,"Singapore, Singapore",1.2904527,103.852038,190
"Chicago, IL",41.8755546,-87.6244211,"Shanghai, China",31.2253441,121.4888922,190
"La Jolla, CA",32.8472711,-117.2742085,"Toronto, ON, Canada",43.6529206,-79.3849007,190
"Bethesda, MD",38.9848265,-77.0946458,"Seattle, WA",47.6038321,-122.3300623,188
"Los Angeles, CA",34.0543942,-118.2439408,"Madison, WI",43.074761,-89.3837612,188
"Los Angeles, CA",34.0543942,-118.2439408,"Pittsburgh, PA",40.4416941,-79.990086,188
"Bethesda, MD",38.9848265,-77.0946458,"Montreal, QC, Canada",45.5087928,-73.5539819,188
"Beijing, China",39.9059631,116.391248,"Philadelphia, PA",39.9523993,-75.1635898,186
"New York, NY",40.7305991,-73.9865811,"Tempe, AZ",33.4144139,-111.9094473,186
"Chicago, IL",41.8755546,-87.6244211,"Korea, Republic Of",35.3985008,127.937111,182
"Baltimore, MD",39.2908608,-76.6108072,"Houston, TX",29.7589382,-95.3676973,182
"La Jolla, CA",32.8472711,-117.2742085,"Saint Louis, MO",38.6272733,-90.1978888,180
"La Jolla, CA",32.8472711,-117.2742085,"Shanghai, China",31.2253441,121.4888922,180
"Nashville, TN",36.1622296,-86.774353,"New York, NY",40.7305991,-73.9865811,178
"Bethesda, MD",38.9848265,-77.0946458,"London, United Kingdom",51.5073219,-0.1276473,178
"Philadelphia, PA",39.9523993,-75.1635898,"San Francisco, CA",37.7792808,-122.4192362,176
"Los Angeles, CA",34.0543942,-118.2439408,"Seattle, WA",47.6038321,-122.3300623,176
"Chicago, IL",41.8755546,-87.6244211,"Houston, TX",29.7589382,-95.3676973,176
"Boston, MA",42.3604823,-71.0595677,"Portland, OR",45.5202471,-122.6741948,174
"Atlanta, GA",33.7490987,-84.3901848,"Baltimore, MD",39.2908608,-76.6108072,174
"Boston, MA",42.3604823,-71.0595677,"Seoul, Republic Of Korea",37.5666791,126.9782914,174
"Baltimore, MD",39.2908608,-76.6108072,"Saint Louis, MO",38.6272733,-90.1978888,174
"Chicago, IL",41.8755546,-87.6244211,"Pittsburgh, PA",40.4416941,-79.990086,174
"New York, NY",40.7305991,-73.9865811,"Paris, France",48.8564915,2.3521562,174
"Ann Arbor, MI",42.2681569,-83.731229,"La Jolla, CA",32.8472711,-117.2742085,172
"Houston, TX",29.7589382,-95.3676973,"Los Angeles, CA",34.0543942,-118.2439408,172
"La Jolla, CA",32.8472711,-117.2742085,"Pittsburgh, PA",40.4416941,-79.990086,170
"Ann Arbor, MI",42.2681569,-83.731229,"Los Angeles, CA",34.0543942,-118.2439408,170
"Chicago, IL",41.8755546,-87.6244211,"Seattle, WA",47.6038321,-122.3300623,168
"Los Angeles, CA",34.0543942,-118.2439408,"Toronto, ON, Canada",43.6529206,-79.3849007,168
"Boston, MA",42.3604823,-71.0595677,"Urbana, IL",40.1117174,-88.2073009,168
"La Jolla, CA",32.8472711,-117.2742085,"Seattle, WA",47.6038321,-122.3300623,166
"Baltimore, MD",39.2908608,-76.6108072,"Seattle, WA",47.6038321,-122.3300623,164
"Bethesda, MD",38.9848265,-77.0946458,"Gainesville, FL",29.651907,-82.3247975,164
"Sendai, Japan",38.296829,140.769677,"Tokyo, Japan",34.2255804,139.294774527387,164
"Beijing, China",39.9059631,116.391248,"San Francisco, CA",37.7792808,-122.4192362,164
"Baltimore, MD",39.2908608,-76.6108072,"Gainesville, FL",29.651907,-82.3247975,164
"Kyoto, Japan",35.0185804,135.763835,"Osaka, Japan",34.704365,135.501887,164
"La Jolla, CA",32.8472711,-117.2742085,"Tempe, AZ",33.4144139,-111.9094473,162
"Durham, NC",35.9940329,-78.8986189,"Philadelphia, PA",39.9523993,-75.1635898,162
"Los Angeles, CA",34.0543942,-118.2439408,"Saint Louis, MO",38.6272733,-90.1978888,162
"La Jolla, CA",32.8472711,-117.2742085,"Princeton, NJ",40.3492744,-74.6592957,162
"Philadelphia, PA",39.9523993,-75.1635898,"Pittsburgh, PA",40.4416941,-79.990086,160
"Bethesda, MD",38.9848265,-77.0946458,"Princeton, NJ",40.3492744,-74.6592957,160
"La Jolla, CA",32.8472711,-117.2742085,"Madison, WI",43.074761,-89.3837612,160
"Houston, TX",29.7589382,-95.3676973,"Saint Louis, MO",38.6272733,-90.1978888,160
"Baltimore, MD",39.2908608,-76.6108072,"Montreal, QC, Canada",45.5087928,-73.5539819,158
"Austin, TX",30.2711286,-97.7436994,"Boston, MA",42.3604823,-71.0595677,158
"Houston, TX",29.7589382,-95.3676973,"Philadelphia, PA",39.9523993,-75.1635898,158
"Bethesda, MD",38.9848265,-77.0946458,"Nashville, TN",36.1622296,-86.774353,158
"Beijing, China",39.9059631,116.391248,"Durham, NC",35.9940329,-78.8986189,156
"Korea, Republic Of",35.3985008,127.937111,"San Francisco, CA",37.7792808,-122.4192362,156
"New Haven, CT",41.3082138,-72.9250517,"Philadelphia, PA",39.9523993,-75.1635898,156
"Nagoya, Japan",35.15792,136.90448,"Okazaki, Japan",34.950974,137.260842,156
"Durham, NC",35.9940329,-78.8986189,"San Francisco, CA",37.7792808,-122.4192362,154
"Los Angeles, CA",34.0543942,-118.2439408,"Montreal, QC, Canada",45.5087928,-73.5539819,154
"Montreal, QC, Canada",45.5087928,-73.5539819,"Toronto, ON, Canada",43.6529206,-79.3849007,154
"Davis, CA",38.545379,-121.7445834,"New York, NY",40.7305991,-73.9865811,154
"Los Angeles, CA",34.0543942,-118.2439408,"Tokyo, Japan",34.2255804,139.294774527387,154
"Durham, NC",35.9940329,-78.8986189,"Stanford, CA",37.4265649,-122.170187551249,152
"Atlanta, GA",33.7490987,-84.3901848,"San Francisco, CA",37.7792808,-122.4192362,152
"Beijing, China",39.9059631,116.391248,"Houston, TX",29.7589382,-95.3676973,152
